CNC Machine Opened at 07/07/2012 18:38:16
07/07/2012 18:39:10: Drill Location = (0, 0, 35); Message: Data Sent: BZE
07/07/2012 18:39:10: Drill Location = (0, 0, 35); Message: Received: D
07/07/2012 18:39:11: Drill Location = (0, 0, 35); Message: Data Sent: B
07/07/2012 18:39:11: Drill Location = (0, 0, 35); Message: Data Sent: Z
07/07/2012 18:39:11: Drill Location = (0, 0, 36); Message: Data Sent: E
07/07/2012 18:39:11: Drill Location = (0, 0, 36); Message: Data Sent: BZE
07/07/2012 18:39:11: Drill Location = (0, 0, 36); Message: Received: D
07/07/2012 18:39:11: Drill Location = (0, 0, 36); Message: Data Sent: B
07/07/2012 18:39:11: Drill Location = (0, 0, 36); Message: Data Sent: Z
07/07/2012 18:39:11: Drill Location = (0, 0, 37); Message: Data Sent: E
07/07/2012 18:39:11: Drill Location = (0, 0, 37); Message: Data Sent: BZE
07/07/2012 18:39:12: Drill Location = (0, 0, 37); Message: Received: D
07/07/2012 18:39:12: Drill Location = (0, 0, 37); Message: Data Sent: B
07/07/2012 18:39:12: Drill Location = (0, 0, 37); Message: Data Sent: Z
07/07/2012 18:39:12: Drill Location = (0, 0, 38); Message: Data Sent: E
07/07/2012 18:39:12: Drill Location = (0, 0, 38); Message: Data Sent: BZE
07/07/2012 18:39:12: Drill Location = (0, 0, 38); Message: Received: D
07/07/2012 18:39:13: Drill Location = (0, 0, 38); Message: Data Sent: B
07/07/2012 18:39:13: Drill Location = (0, 0, 38); Message: Data Sent: Z
07/07/2012 18:39:13: Drill Location = (0, 0, 39); Message: Data Sent: E
07/07/2012 18:39:13: Drill Location = (0, 0, 39); Message: Data Sent: BZE
07/07/2012 18:39:13: Drill Location = (0, 0, 39); Message: Received: D
07/07/2012 18:39:13: Drill Location = (0, 0, 39); Message: Data Sent: B
07/07/2012 18:39:13: Drill Location = (0, 0, 39); Message: Data Sent: Z
07/07/2012 18:39:13: Drill Location = (0, 0, 40); Message: Data Sent: E
07/07/2012 18:39:13: Drill Location = (0, 0, 40); Message: Data Sent: BZE
07/07/2012 18:39:13: Drill Location = (0, 0, 40); Message: Received: D
